X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50
-6.1084375,-3.0738297,0.31595203,-0.8643022,-2.0456214,-2.2935975,-0.40416178,1.653128,-0.7528358,-0.7989299,2.232528,-1.2527937,1.6924032,-0.74472755,0.8823052,-2.5179894,-1.0653148,0.17806566,-0.5138845,-1.8292587,-0.86458266,-1.130939,-1.8857272,-1.2472483,1.5439808,-1.8253455,-0.32059067,-0.038057156,0.7227149,-0.43315536,-0.8760927,0.73413163,1.147312,-0.4340375,-1.0445393,-1.5877088,-0.540378,1.3311762,0.09351896,1.863382,-0.5306432,-0.90050364,1.7319077,0.8113385,1.4755373,1.1220479,1.7503271,1.4136971,-0.027537404,0.32284194
-6.3248725,-2.4460423,0.43387994,-1.9823701,0.9613135,1.0129321,2.5338469,-1.6777353,-3.624928,-3.6138005,0.9291226,3.2934682,-2.4038055,1.0241503,2.5605483,-1.2647178,0.45979366,3.7288957,-0.19228062,0.8866581,2.1188905,-1.7462752,-0.22751097,-0.9924791,-2.333451,0.49761268,-1.4600449,2.264192,2.4945917,-1.4708167,0.2644365,-0.24073583,-2.252962,1.2529259,-1.8397251,-0.6077154,0.0739753,0.61984915,-1.3723416,1.5424435,1.7338784,-0.028705208,-2.1181176,0.93032753,2.2482238,1.1961684,0.441111,0.20649712,0.21695559,0.8958285
6.4813538,1.4703369,6.184576,-0.8377605,0.8028305,1.1045933,-0.29953253,-0.6362009,-0.7510414,-0.9121203,0.72512984,-0.980836,0.6774439,-0.6903716,1.742977,-0.5931941,-0.3275382,-0.32245857,-1.9612759,0.46684298,1.3465292,1.1652298,-0.34781033,-1.5394084,-0.70774055,-1.2130797,-0.83246565,0.8664973,-1.2330155,-1.9438123,1.1439922,-0.64194334,1.6920516,-0.80884534,-0.65659803,0.43542615,-1.2111415,-0.45894068,0.9199859,0.9249921,-0.26613504,0.27678758,-0.10922395,0.6637008,-2.3412702,-0.031191314,-2.1571088,0.7263182,-0.33672032,0.82289636
6.2508397,-1.2365699,-2.3913643,-1.5904883,0.22932285,-1.1551446,0.38921922,-1.0440677,0.12808868,0.26416048,0.08369532,-0.46501526,2.083894,-0.7286113,-0.20341685,-1.3105812,0.6700164,-1.6858884,1.742618,0.01416605,-0.052963533,1.8952593,1.0469916,-0.7977584,1.2626998,-0.29608396,1.5012094,-0.28040567,-0.73009056,0.698148,1.1576678,0.07827331,2.5169475,0.39368019,1.247642,-0.97792524,-1.2797657,-1.7314059,0.13591862,1.1846818,-0.6074117,0.40148723,1.3698906,0.011420674,1.3998362,-0.8898897,0.3623638,0.042061023,-0.026333239,0.8031442
9.690087,-0.4064856,-1.3819661,-2.6481044,-0.7545883,0.5106697,1.5844815,-0.8793514,1.0947653,-1.5616335,-0.77465224,1.6590555,-0.99478465,0.5329602,-0.8372498,-1.4949921,-0.73973083,0.7896118,-0.7679909,1.6590607,-2.4251006,-0.7016724,-0.2969901,-1.594832,0.5825097,0.6548815,-0.4894802,-0.060804285,2.3119385,1.6947155,0.042740926,1.0511203,0.6275091,-0.63104004,0.5291611,-0.21038207,-0.46264037,1.0675647,0.49878263,0.56158733,-0.52087146,-0.9231872,1.8672241,-1.6820669,-1.2614816,0.9244513,-0.7692752,0.7489457,-0.09029433,-2.0103505
8.9067745,0.41505307,4.088405,-1.0384793,1.2794663,-1.1981266,2.8991628,0.5224951,0.66058105,0.3204372,-2.2074707,-0.36851853,1.5343925,0.39060748,1.758109,-1.5276194,0.27459705,-0.76267964,-0.5301205,-0.81210375,0.42662072,-0.71847314,0.85649276,-1.0167856,2.3397398,-0.1402093,-0.4260567,0.10313065,-0.80130756,1.7357783,-0.34104776,-1.2940084,-1.701061,-1.1980975,0.70296776,0.23990715,-1.9486946,-0.95971143,0.27619153,0.4190571,-0.76387966,-1.9130414,-0.17161469,-0.005129389,-0.27223614,0.5808697,-2.0035856,-1.834974,0.5300032,-0.742135
-5.6023545,6.6221833,0.18413702,-0.808193,1.0626324,-0.84039086,1.5932677,2.3988562,-4.5911674,3.705805,-2.0381482,-0.4625405,1.2070143,-1.0105019,2.7295773,0.0885568,-3.893737,3.101276,-0.16680345,2.386308,-0.45859697,2.315415,-0.5672318,2.164686,-2.4192588,-1.4474257,-0.10537778,2.5007694,1.7096502,-1.6840901,1.3861058,2.2410197,-0.015581995,-1.8949655,-1.779794,0.033829972,-2.9884357,-1.0817479,-2.297842,2.0154047,1.7623941,0.48730183,-0.7138078,-0.29127327,-1.8937417,-0.36010802,-3.691855,0.75513566,-1.527355,-1.4093755
-7.005873,-1.2015363,0.6693592,-1.9417105,0.9688779,-2.8968205,0.09602508,-0.36661655,-0.7250114,1.2593781,1.0024251,-0.35336444,-0.7713911,1.8146917,-0.8065173,-0.09920781,1.5256077,-1.0386586,-0.4281911,-2.1814194,-2.366581,-0.62723106,-2.1886084,-0.72878706,-2.1416802,0.75041544,0.011414425,0.3288795,-1.5757383,0.24751894,0.59471273,-0.33721867,-0.03137051,-0.40000194,-1.0364703,0.5983915,-0.1402131,0.03635564,-0.7305103,-0.01865978,-0.8382004,0.76786536,-0.9624107,-0.47699803,-0.1960133,1.285612,-0.92503065,0.060968928,0.03757379,-0.1368278
6.653146,-0.056414586,5.47208,-0.60612345,-0.7044336,-0.42415842,1.2586511,-0.8252798,1.2874279,1.1407658,1.0892632,-1.3588578,-1.5589411,-1.3435154,-2.2160099,0.92617595,0.038364947,-0.12140116,0.11016996,1.6536704,-0.5598582,0.7271443,0.7794912,-1.6870395,-2.1742384,-0.95954466,1.4036659,-0.026350917,0.18589999,0.78089136,1.162397,0.32764566,2.0432403,1.3561417,-0.4483579,-2.1254847,-2.484251,1.0944427,-0.4011115,-0.85768676,-1.0785142,1.2059181,-1.4607548,-0.23408473,0.8816747,-0.46573284,-1.3848555,-0.21414201,1.3717198,-1.103778
8.199504,0.6583632,2.613773,-0.3608101,-0.11468264,-0.37028953,-1.5853219,0.48725742,0.4169882,-2.3008294,-0.33947703,0.25188142,0.13992707,-0.28522873,0.5723272,0.5642211,-1.6860942,0.39724007,-0.45861545,0.22453967,-0.8537252,0.037534688,-1.6085446,0.4177159,0.74193585,0.8882222,0.056439646,0.16429457,-0.059243273,-1.048952,-1.3883928,0.7177327,1.7563905,-1.1279052,0.43530208,-0.08459186,-0.63100237,-0.06238451,-1.6810083,-0.5155492,-0.48894498,-0.68303984,1.1782898,0.986865,0.54006535,0.41148216,-0.73128057,-1.4526905,1.073247,0.12551881
8.167047,0.502756,3.931598,-2.020633,0.20187423,0.6653856,-0.545242,-0.050906174,-0.5779873,0.38190997,0.4746894,0.74325943,0.86737925,0.978806,-0.8417927,-0.5013403,-0.7063099,0.25728977,1.9789795,-0.17133917,-0.7545691,0.041678805,0.17827418,-0.2177727,-0.81959105,-1.4826773,-0.43886527,-1.2436503,-1.2605331,-0.99515843,-1.1254854,-0.3682587,2.5996182,0.69940525,3.1310806,-0.12064226,-0.49460208,0.10644388,-0.73492783,1.6731805,1.4499804,-0.98431164,0.25310642,-0.41461208,1.2546812,-0.27732235,-1.6759717,0.537269,2.4195476,-0.64598143
-7.0551605,-3.2895842,-0.77375937,-1.0127307,0.21904086,0.5812782,0.30649173,1.5800196,-0.43010363,-1.7867142,0.734466,1.369854,-0.62433654,0.08556772,-1.8118907,-1.1394088,0.3838153,0.06091788,0.91291255,0.99753,-1.0922701,-0.18574046,-1.1160362,-0.25443113,0.6295566,0.35962045,-1.2256882,-0.90852994,-1.4260371,-2.8942933,0.50679296,1.3562442,0.14396091,1.9892817,-0.6588912,-2.0697117,0.40478066,-1.5734695,0.6315665,0.49835384,0.8258444,-0.58628273,-2.2265973,-0.2617478,0.36723685,-0.18506528,0.14126109,-0.7013033,-1.0776553,0.77338165
8.248873,-0.8378725,-0.63038987,1.1573147,-0.22166014,0.5111108,-0.3432956,0.20532222,2.3368862,-2.600265,0.26876453,1.4510485,2.0251062,0.67272794,1.3287647,-0.60480875,1.1436057,-0.28569815,0.07411942,0.51076293,-0.2992945,0.7397309,0.5026482,0.8874456,0.6286086,0.27119705,2.9007022,-0.78321236,-0.57622886,0.9476752,0.08967628,1.4919726,0.9390191,-1.8655823,0.8111222,1.2179694,1.2610147,0.7275899,0.9163146,0.35218096,1.5082052,0.1983259,-0.8595298,0.28565192,0.4908262,-0.5239294,1.0361121,-0.9896345,-1.139998,1.0022038
7.8786592,2.3162858,-1.2820278,0.18132824,2.0092394,2.703332,2.9797843,-1.2660135,-2.6120522,0.929061,-1.2183881,2.378738,1.0185108,0.27015924,-1.8428961,-1.1519156,-0.82187396,0.6488003,0.22435029,-0.16610506,-0.7032724,-0.97489315,-0.9827833,-0.9490226,0.35484156,-0.31075546,0.48518106,-0.7405572,-0.13612528,1.5107434,0.8862278,-0.9552657,-0.51437044,-0.7306108,-0.08374723,2.7539883,0.30050358,1.4120923,-0.8321614,0.5639553,0.027020266,0.036379177,-0.8350337,-1.4547449,0.8066925,1.2717736,0.99734336,0.880657,-0.47763017,-1.1892976
8.428166,1.3514762,4.4008355,0.5900717,1.4072809,0.90974736,0.7941046,1.8984045,0.91606236,0.92119044,-1.8425294,0.562526,0.9721375,0.19271374,-0.412095,1.7783829,-0.21587448,0.37428153,1.2834047,-1.2117918,1.2827799,0.19596541,1.0045906,0.3794676,-0.29350668,1.1286517,1.1806846,-0.17689833,0.16389272,-0.19154178,0.04401273,-0.37215877,-1.261344,-0.22829856,-1.0029153,2.9669304,-0.30719665,-1.9465498,1.3709117,-1.4659965,-0.004807071,0.20922525,-2.1433668,-0.871004,0.434653,0.3573341,-0.6494538,0.41376847,-1.5092924,-0.8069444
-6.623479,-3.5109437,1.3050436,-0.598912,-1.359439,0.14179848,-0.036220465,0.45137963,1.548846,-0.4351431,-0.40715286,0.37664908,0.62985104,-2.0315888,-1.8365369,-1.0142335,-2.5227652,0.24877925,0.9410763,-0.41865966,-1.5897506,-1.2233568,-1.6255263,0.13926344,-0.09298106,1.3469745,-0.72637737,1.2031351,1.036059,-0.57768667,1.6649369,0.28186515,-0.08552627,-0.21594428,-0.1107773,0.161916,-0.89599293,1.1152872,-0.16970259,0.6610846,0.07508016,-1.3038142,-1.0103805,1.0261755,0.22643638,0.18272987,1.8402265,-1.6427577,1.7789658,-0.82205737
-6.459795,11.468993,-1.6474706,-0.6497135,-1.7887049,-1.1316699,-0.12203406,0.261614,-0.5785752,2.8721225,0.6276575,1.0788157,-2.1452699,3.4884756,0.17299205,1.9852523,-1.5339904,-0.14764462,0.91226846,0.5849982,-0.5158794,-0.94880295,2.580089,1.706728,-0.06227131,1.215739,-3.2251434,0.28535536,0.15487233,2.171596,0.031262513,-0.07824498,1.0806996,-0.021470793,2.8297126,1.6878258,0.8261362,0.06294251,-2.1606948,-1.3211552,-1.789201,-1.395382,0.5799525,3.4771028,-0.90481263,-0.97937584,-2.1465678,2.1677012,-0.543303,-1.1830573
-6.812126,-3.4088292,0.4837195,-0.9857801,-0.81924605,2.0409408,1.7131677,-0.8936963,0.9502472,-2.3893335,0.7027481,-1.4075955,0.18108937,-2.3319886,-1.0500578,-0.90359294,1.0089595,0.225467,-0.23327866,-0.009496642,0.26948762,0.15198581,0.943413,1.6862465,-0.05863876,-0.5974445,-1.8022909,0.6196126,-0.7346572,-1.3491832,0.040767264,-1.7800964,-1.180915,0.22511858,1.1540782,1.026953,-2.0962532,-1.4619691,-1.0110576,0.036237974,0.20546298,-1.3094391,-0.9663078,-0.032100778,0.42507008,0.5751681,-0.44378048,-0.9192091,0.31598955,-1.3585485
